,Unnamed: 0,track_uri,track_id,track_name,album_release_date,track_year,popular_year,Top100
627,627,spotify:track:2dxjKgT0li4qBI3QwuN9Ih,2dxjKgT0li4qBI3QwuN9Ih,Touch The Sky,2005-08-30,2005,2006,Y
628,628,spotify:track:13xxBnXOuiBxVxJI458B0i,13xxBnXOuiBxVxJI458B0i,Unfaithful,2006-04-10,2006,2006,Y
629,629,spotify:track:7DFnq8FYhHMCylykf6ZCxA,7DFnq8FYhHMCylykf6ZCxA,Yo (Excuse Me Miss),2005,2005,2006,Y
630,630,spotify:track:2hns6Dv29Yrg68AVTJiAyA,2hns6Dv29Yrg68AVTJiAyA,Who Knew,2006-04-04,2006,2006,Y
631,631,spotify:track:5YJtMNWKe55yr49cyJgxva,5YJtMNWKe55yr49cyJgxva,Everytime We Touch,2010-02-12,2010,2006,Y
632,632,spotify:track:4T4NLIMypdmyUwK54jECk4,4T4NLIMypdmyUwK54jECk4,Too Little Too Late,2006-10-17,2006,2006,Y
633,633,spotify:track:4bVuIlGQBMWS7vIhcx8Ae4,4bVuIlGQBMWS7vIhcx8Ae4,What Hurts The Most,2006-01-01,2006,2006,Y
634,634,spotify:track:4Gd9PUEuOTOJtbgd4YxLXM,4Gd9PUEuOTOJtbgd4YxLXM,Savin' Me,2005-09-26,2005,2006,Y
635,635,spotify:track:3kZoay4ANo86ehb6s4RwS9,3kZoay4ANo86ehb6s4RwS9,Ridin',2005-01-01,2005,2006,Y
636,636,spotify:track:10aWGOqSDBqvNzJ9NeKDbK,10aWGOqSDBqvNzJ9NeKDbK,Sexy Love,2006-01-01,2006,2006,Y
637,637,spotify:track:4GIsskMpViPkt0uzPJTJSp,4GIsskMpViPkt0uzPJTJSp,"Nasty Girl (feat. Diddy, Nelly, Jagged Edge & Avery Storm) - 2005 Remaster",2005-12-13,2005,2006,Y
638,638,spotify:track:1N62wozuHCvczCkY4QidpP,1N62wozuHCvczCkY4QidpP,Over My Head (Cable Car),2005-09-13,2005,2006,Y
639,639,spotify:track:6btyEL6NwUa97Nex9cZFvo,6btyEL6NwUa97Nex9cZFvo,Pump It,2005-01-01,2005,2006,Y
640,640,spotify:track:6xM8oBy40nK1rOd8WmoOPx,6xM8oBy40nK1rOd8WmoOPx,Last Request,2007-01-30,2007,2006,Y
641,641,spotify:track:6gxycjJNMgmAyfzUXBN80P,6gxycjJNMgmAyfzUXBN80P,Goodbye My Lover,2005-08-08,2005,2006,Y
642,642,spotify:track:0Qn0i8df7Q76ej3RAXAtI2,0Qn0i8df7Q76ej3RAXAtI2,Rock This Party - Everybody Dance Now,2006-08-22,2006,2006,Y
643,643,spotify:track:663Karu2rvKLdnY0eo1n3M,663Karu2rvKLdnY0eo1n3M,Call Me When You're Sober,2006-01-01,2006,2006,Y
644,644,spotify:track:6Y3WvyUG9iE5bQYg38SPtQ,6Y3WvyUG9iE5bQYg38SPtQ,Be Without You - Kendu Mix,2005-01-01,2005,2006,Y
645,645,spotify:track:6o3s08kk2fQI37vxGZDrJ1,6o3s08kk2fQI37vxGZDrJ1,Snap Yo Fingers,2006-05-02,2006,2006,Y
646,646,spotify:track:2QurCbkPO14pjrikPNja0h,2QurCbkPO14pjrikPNja0h,I'm N Luv (Wit a Stripper) (feat. Mike Jones),2005-12-06,2005,2006,Y
647,647,spotify:track:7M13FwBAKWNa2jqcZeUhL6,7M13FwBAKWNa2jqcZeUhL6,Love Generation - Radio Edit,2005-06-20,2005,2006,Y
648,648,spotify:track:0qAMjeQFyd1qD0LDiV8gWp,0qAMjeQFyd1qD0LDiV8gWp,Black Horse And The Cherry Tree,2005-01-01,2005,2006,Y
649,649,spotify:track:05Sgj1Hx03ZXc57gsV1kfX,05Sgj1Hx03ZXc57gsV1kfX,It's Goin' Down (feat. Nitti),2006-06-06,2006,2006,Y
650,650,spotify:track:6MBEjJlXQYXr8dfxDvZuoA,6MBEjJlXQYXr8dfxDvZuoA,Do It To It,2006-01-01,2006,2006,Y
651,651,spotify:track:53ETzLQQKFCzykRbqWb1ph,53ETzLQQKFCzykRbqWb1ph,Gimme That,2005,2005,2006,Y
652,652,spotify:track:5ZdzNVOmCSp5HFLk0EgvJS,5ZdzNVOmCSp5HFLk0EgvJS,Dirty Little Secret,2005-01-01,2005,2006,Y
653,653,spotify:track:3BxWKCI06eQ5Od8TY2JBeA,3BxWKCI06eQ5Od8TY2JBeA,Buttons,2005-01-01,2005,2006,Y
654,654,spotify:track:3Lk7RWStfLaHG7lXsuS87j,3Lk7RWStfLaHG7lXsuS87j,One,2005-01-01,2005,2006,Y
655,655,spotify:track:653rxW1E7V52QWh6a7oIdS,653rxW1E7V52QWh6a7oIdS,My My My,2005-07-04,2005,2006,Y
656,656,spotify:track:0CAJdthKDdRjB2h8YOguN6,0CAJdthKDdRjB2h8YOguN6,What You Know,2006-03-26,2006,2006,Y
657,657,spotify:track:2lRI7n5b9jlPYsEpRuots6,2lRI7n5b9jlPYsEpRuots6,When I'm Gone,2005-12-06,2005,2006,Y
658,658,spotify:track:4zQuwW24dweWcaX0fEJkP2,4zQuwW24dweWcaX0fEJkP2,You Know I'm No Good,2006-10-27,2006,2006,Y
659,659,spotify:track:7jRoWfRlLnGYEIEn4t4kbq,7jRoWfRlLnGYEIEn4t4kbq,London Bridge,2006-09-13,2006,2006,Y
660,660,spotify:track:7huo2wvrCgRucUsjdSDLQV,7huo2wvrCgRucUsjdSDLQV,Ain't No Other Man,2006-08-14,2006,2006,Y
661,661,spotify:track:2ajhenDRiiAnCHHjsIOHhJ,2ajhenDRiiAnCHHjsIOHhJ,Laffy Taffy,2005-11-08,2005,2006,Y
662,662,spotify:track:3ItzRpwvKtkDSNdRSjXu7Z,3ItzRpwvKtkDSNdRSjXu7Z,Chelsea Dagger,2007-01-01,2007,2006,Y
663,663,spotify:track:5hF2LnbkpnXCkksMSeWcxZ,5hF2LnbkpnXCkksMSeWcxZ,Pullin' Me Back,2006-01-01,2006,2006,Y
664,664,spotify:track:4NjR63Up0uMkQBlKvlZd1l,4NjR63Up0uMkQBlKvlZd1l,Stickwitu,2005-01-01,2005,2006,Y
665,665,spotify:track:55whbebR4olz2HHcRQa2kx,55whbebR4olz2HHcRQa2kx,Sorry,2005-11-11,2005,2006,Y
666,666,spotify:track:7g7M96UGiA7OR79H86gV4m,7g7M96UGiA7OR79H86gV4m,U and Dat (feat. T. Pain & Kandi Girl),2006-03-14,2006,2006,Y
667,667,spotify:track:0k6HUzaRHpQ3eEWr1C7Esh,0k6HUzaRHpQ3eEWr1C7Esh,Ms. New Booty,2005-01-01,2005,2006,Y
668,668,spotify:track:6yLX8QnxlnEqZfs3YKCfjF,6yLX8QnxlnEqZfs3YKCfjF,Tears Dry On Their Own,2006-10-27,2006,2006,Y
669,669,spotify:track:4aR9bPMAOFySBuQSbVWF3d,4aR9bPMAOFySBuQSbVWF3d,Smile,2006-05-08,2006,2006,Y
670,670,spotify:track:2RUhtNBh43RtSg0WBPPq3m,2RUhtNBh43RtSg0WBPPq3m,Naive,2006-01-01,2006,2006,Y
671,671,spotify:track:0ZRrJTPXDToRJ2iLo9oLrW,0ZRrJTPXDToRJ2iLo9oLrW,When The Sun Goes Down,2006-02-21,2006,2006,Y
